datetime;latitude;longitude
1732530743041;47.100169;-1.599473
1732530743093;47.100169;-1.599472
1732530743146;47.100169;-1.599472
1732530743198;47.100169;-1.599471
1732530743250;47.100169;-1.599471
1732530743302;47.100169;-1.599472
1732530743354;47.100170;-1.599473
1732530743406;47.100170;-1.599473
1732530743458;47.100169;-1.599472
1732530743510;47.100169;-1.599472
1732530743562;47.100169;-1.599472
1732530743615;47.100169;-1.599472
1732530743673;47.100169;-1.599472
1732530743731;47.100169;-1.599472
1732530743789;47.100169;-1.599472
1732530743847;47.100169;-1.599472
1732530743905;47.100169;-1.599472
1732530743963;47.100169;-1.599472
1732530744021;47.100169;-1.599472
1732530744079;47.100169;-1.599472
1732530744137;47.100169;-1.599472
1732530744195;47.100169;-1.599471
1732530744253;47.100169;-1.599472
1732530744311;47.100169;-1.599472
1732530744369;47.100169;-1.599472
1732530744427;47.100169;-1.599472
1732530744485;47.100169;-1.599471
1732530744543;47.100169;-1.599471
1732530744601;47.100169;-1.599471
1732530744660;47.100169;-1.599471
1732530744715;47.100169;-1.599471
1732530744770;47.100169;-1.599471
1732530744825;47.100170;-1.599471
1732530744880;47.100170;-1.599471
1732530744935;47.100170;-1.599471
1732530744990;47.100170;-1.599471
1732530745045;47.100170;-1.599471
1732530745100;47.100170;-1.599471
1732530745155;47.100170;-1.599471
1732530745210;47.100170;-1.599471
1732530745265;47.100170;-1.599471
1732530745320;47.100170;-1.599471
1732530745375;47.100170;-1.599471
1732530745430;47.100170;-1.599472
1732530745485;47.100170;-1.599472
1732530745540;47.100170;-1.599472
1732530745595;47.100170;-1.599472
1732530745650;47.100170;-1.599472
1732530745705;47.100170;-1.599472
1732530745760;47.100170;-1.599472
1732530745815;47.100170;-1.599472
1732530745870;47.100170;-1.599472
1732530745925;47.100169;-1.599471
1732530745980;47.100169;-1.599472
1732530746035;47.100169;-1.599471
1732530746090;47.100169;-1.599471
1732530746145;47.100169;-1.599471
1732530746200;47.100169;-1.599471
1732530746255;47.100169;-1.599472
1732530746310;47.100169;-1.599471
1732530746365;47.100170;-1.599471
1732530746420;47.100170;-1.599471
1732530746475;47.100170;-1.599471
1732530746530;47.100170;-1.599471
1732530746585;47.100170;-1.599471
1732530746640;47.100170;-1.599471
1732530746695;47.100170;-1.599471
1732530746750;47.100170;-1.599470
1732530746805;47.100170;-1.599470
1732530746860;47.100170;-1.599470
1732530746915;47.100170;-1.599470
1732530746970;47.100170;-1.599470
1732530747025;47.100170;-1.599471
1732530747080;47.100170;-1.599471
1732530747135;47.100170;-1.599470
1732530747190;47.100170;-1.599470
1732530747245;47.100170;-1.599470
1732530747300;47.100170;-1.599470
1732530747355;47.100170;-1.599470
1732530747410;47.100170;-1.599470
1732530747465;47.100170;-1.599470
1732530747520;47.100171;-1.599470
1732530747575;47.100170;-1.599469
1732530747630;47.100170;-1.599469
1732530747679;47.100170;-1.599470
1732530747728;47.100170;-1.599469
1732530747777;47.100170;-1.599470
1732530747826;47.100171;-1.599471
1732530747876;47.100171;-1.599471
1732530747925;47.100171;-1.599471
1732530747974;47.100171;-1.599470
1732530748023;47.100171;-1.599471
1732530748072;47.100171;-1.599470
1732530748122;47.100171;-1.599470
1732530748171;47.100171;-1.599469
1732530748220;47.100170;-1.599469
1732530748269;47.100170;-1.599469
1732530748318;47.100170;-1.599469
1732530748368;47.100170;-1.599469
1732530748417;47.100170;-1.599469
1732530748466;47.100170;-1.599468
1732530748515;47.100170;-1.599468
1732530748565;47.100169;-1.599468
1732530748623;47.100169;-1.599468
1732530748681;47.100168;-1.599467
1732530748739;47.100168;-1.599466
1732530748797;47.100168;-1.599466
1732530748855;47.100168;-1.599465
1732530748913;47.100168;-1.599466
1732530748971;47.100167;-1.599465
1732530749029;47.100167;-1.599464
1732530749087;47.100166;-1.599464
1732530749145;47.100166;-1.599463
1732530749203;47.100165;-1.599463
1732530749261;47.100164;-1.599462
1732530749319;47.100164;-1.599462
1732530749377;47.100164;-1.599462
1732530749435;47.100163;-1.599461
1732530749493;47.100162;-1.599460
1732530749551;47.100162;-1.599459
1732530749610;47.100161;-1.599458
1732530749662;47.100160;-1.599457
1732530749714;47.100159;-1.599456
1732530749766;47.100159;-1.599456
1732530749818;47.100158;-1.599456
1732530749870;47.100158;-1.599455
1732530749922;47.100158;-1.599454
1732530749974;47.100157;-1.599453
1732530750026;47.100157;-1.599452
1732530750078;47.100156;-1.599452
1732530750131;47.100155;-1.599451
1732530750183;47.100154;-1.599450
1732530750235;47.100153;-1.599449
1732530750287;47.100152;-1.599448
1732530750339;47.100151;-1.599448
1732530750391;47.100150;-1.599447
1732530750443;47.100149;-1.599446
1732530750495;47.100148;-1.599445
1732530750547;47.100147;-1.599444
1732530750600;47.100146;-1.599443
1732530750666;47.100145;-1.599443
1732530750732;47.100144;-1.599443
1732530750798;47.100142;-1.599441
1732530750864;47.100139;-1.599440
1732530750930;47.100138;-1.599440
1732530750996;47.100137;-1.599439
1732530751062;47.100136;-1.599439
1732530751128;47.100135;-1.599438
1732530751194;47.100133;-1.599438
1732530751260;47.100132;-1.599438
1732530751326;47.100131;-1.599438
1732530751392;47.100130;-1.599438
1732530751458;47.100129;-1.599437
1732530751524;47.100127;-1.599437
1732530751590;47.100126;-1.599437
1732530751648;47.100125;-1.599437
1732530751706;47.100124;-1.599437
1732530751764;47.100122;-1.599437
1732530751822;47.100121;-1.599437
1732530751881;47.100118;-1.599436
1732530751939;47.100117;-1.599436
1732530751997;47.100116;-1.599437
1732530752055;47.100114;-1.599437
1732530752114;47.100113;-1.599437
1732530752172;47.100112;-1.599437
1732530752230;47.100110;-1.599437
1732530752288;47.100109;-1.599438
1732530752347;47.100108;-1.599438
1732530752405;47.100106;-1.599438
1732530752463;47.100105;-1.599438
1732530752521;47.100104;-1.599439
1732530752580;47.100102;-1.599439
1732530752635;47.100101;-1.599439
1732530752690;47.100099;-1.599440
1732530752745;47.100098;-1.599440
1732530752800;47.100096;-1.599441
1732530752855;47.100095;-1.599441
1732530752910;47.100094;-1.599441
1732530752965;47.100092;-1.599442
1732530753020;47.100091;-1.599442
1732530753075;47.100090;-1.599443
1732530753130;47.100088;-1.599443
1732530753185;47.100087;-1.599444
1732530753240;47.100085;-1.599444
1732530753295;47.100084;-1.599444
1732530753350;47.100083;-1.599445
1732530753405;47.100082;-1.599445
1732530753460;47.100080;-1.599446
1732530753515;47.100079;-1.599446
1732530753570;47.100077;-1.599447
1732530753625;47.100075;-1.599447
1732530753683;47.100074;-1.599447
1732530753741;47.100073;-1.599448
1732530753799;47.100072;-1.599448
1732530753857;47.100069;-1.599449
1732530753916;47.100068;-1.599449
1732530753974;47.100066;-1.599450
1732530754032;47.100065;-1.599450
1732530754090;47.100064;-1.599450
1732530754149;47.100063;-1.599451
1732530754207;47.100062;-1.599451
1732530754265;47.100061;-1.599451
1732530754323;47.100060;-1.599452
1732530754382;47.100059;-1.599452
1732530754440;47.100058;-1.599452
1732530754498;47.100057;-1.599453
1732530754556;47.100056;-1.599453
1732530754615;47.100055;-1.599453
1732530754673;47.100054;-1.599454
1732530754731;47.100053;-1.599455
1732530754789;47.100052;-1.599455
1732530754847;47.100050;-1.599456
1732530754906;47.100049;-1.599457
1732530754964;47.100048;-1.599457
1732530755022;47.100047;-1.599457
1732530755080;47.100046;-1.599457
1732530755139;47.100045;-1.599458
1732530755197;47.100044;-1.599458
1732530755255;47.100043;-1.599458
1732530755313;47.100043;-1.599459
1732530755372;47.100041;-1.599460
1732530755430;47.100040;-1.599461
1732530755488;47.100039;-1.599461
1732530755546;47.100039;-1.599462
1732530755605;47.100038;-1.599462
1732530755663;47.100037;-1.599463
1732530755721;47.100037;-1.599463
1732530755779;47.100036;-1.599464
1732530755837;47.100035;-1.599464
1732530755896;47.100034;-1.599465
1732530755954;47.100033;-1.599465
1732530756012;47.100033;-1.599466
1732530756070;47.100032;-1.599466
1732530756129;47.100032;-1.599466
1732530756187;47.100031;-1.599467
1732530756245;47.100031;-1.599468
1732530756303;47.100030;-1.599468
1732530756362;47.100030;-1.599468
1732530756420;47.100029;-1.599469
1732530756478;47.100029;-1.599469
1732530756536;47.100029;-1.599469
1732530756595;47.100028;-1.599470
1732530756653;47.100028;-1.599470
1732530756711;47.100027;-1.599470
1732530756769;47.100027;-1.599471
1732530756827;47.100026;-1.599472
1732530756886;47.100026;-1.599472
1732530756944;47.100025;-1.599472
1732530757002;47.100025;-1.599472
1732530757060;47.100025;-1.599472
1732530757119;47.100025;-1.599472
1732530757177;47.100024;-1.599473
1732530757235;47.100023;-1.599474
1732530757293;47.100023;-1.599474
1732530757352;47.100023;-1.599474
1732530757410;47.100022;-1.599474
1732530757468;47.100022;-1.599474
1732530757526;47.100021;-1.599475
1732530757585;47.100021;-1.599475
1732530757640;47.100021;-1.599476
1732530757695;47.100020;-1.599476
1732530757750;47.100020;-1.599476
1732530757805;47.100020;-1.599476
1732530757860;47.100020;-1.599476
1732530757915;47.100020;-1.599476
1732530757970;47.100020;-1.599476
1732530758025;47.100020;-1.599476
1732530758080;47.100020;-1.599476
1732530758135;47.100020;-1.599476
1732530758190;47.100020;-1.599476
1732530758245;47.100020;-1.599476
1732530758300;47.100020;-1.599476
1732530758355;47.100020;-1.599476
1732530758410;47.100020;-1.599476
1732530758465;47.100020;-1.599475
1732530758520;47.100020;-1.599475
1732530758575;47.100019;-1.599475
1732530758630;47.100019;-1.599475
1732530758691;47.100019;-1.599475
1732530758753;47.100019;-1.599475
1732530758815;47.100019;-1.599475
1732530758877;47.100019;-1.599476
1732530758939;47.100019;-1.599476
1732530759001;47.100018;-1.599476
1732530759063;47.100018;-1.599476
1732530759125;47.100018;-1.599477
1732530759186;47.100018;-1.599477
1732530759248;47.100018;-1.599478
1732530759310;47.100017;-1.599478
1732530759372;47.100017;-1.599478
1732530759434;47.100017;-1.599479
1732530759496;47.100017;-1.599479
1732530759558;47.100016;-1.599480
1732530759620;47.100016;-1.599481
1732530759675;47.100016;-1.599481
1732530759730;47.100015;-1.599482
1732530759785;47.100015;-1.599483
1732530759840;47.100014;-1.599483
1732530759895;47.100014;-1.599485
1732530759950;47.100013;-1.599486
1732530760005;47.100012;-1.599487
1732530760060;47.100012;-1.599487
1732530760115;47.100012;-1.599489
1732530760170;47.100011;-1.599490
1732530760225;47.100011;-1.599491
1732530760280;47.100011;-1.599492
1732530760335;47.100010;-1.599493
1732530760390;47.100009;-1.599494
1732530760445;47.100009;-1.599495
1732530760500;47.100008;-1.599496
1732530760555;47.100008;-1.599497
1732530760610;47.100008;-1.599498
1732530760668;47.100007;-1.599500
1732530760726;47.100007;-1.599501
1732530760784;47.100007;-1.599503
1732530760842;47.100006;-1.599506
1732530760900;47.100006;-1.599507
1732530760958;47.100005;-1.599509
1732530761016;47.100005;-1.599510
1732530761074;47.100005;-1.599512
1732530761132;47.100004;-1.599513
1732530761190;47.100004;-1.599515
1732530761248;47.100004;-1.599517
1732530761306;47.100004;-1.599519
1732530761364;47.100003;-1.599520
1732530761422;47.100004;-1.599522
1732530761480;47.100004;-1.599524
1732530761538;47.100004;-1.599526
1732530761596;47.100003;-1.599528
1732530761655;47.100004;-1.599530
1732530761713;47.100004;-1.599532
1732530761771;47.100004;-1.599534
1732530761830;47.100004;-1.599538
1732530761888;47.100004;-1.599540
1732530761947;47.100005;-1.599542
1732530762005;47.100005;-1.599544
1732530762064;47.100006;-1.599546
1732530762122;47.100006;-1.599549
1732530762180;47.100007;-1.599551
1732530762239;47.100007;-1.599553
1732530762297;47.100008;-1.599556
1732530762356;47.100008;-1.599558
1732530762414;47.100009;-1.599560
1732530762473;47.100009;-1.599562
1732530762531;47.100010;-1.599565
1732530762590;47.100011;-1.599567
1732530762651;47.100012;-1.599570
1732530762712;47.100013;-1.599572
1732530762774;47.100014;-1.599574
1732530762835;47.100015;-1.599579
1732530762897;47.100017;-1.599582
